17749:0,0,0,1,3,0,0,1,4,2,2,2,4,2,1,1,1,0,5,3,2,3,2,0,2,1,1,3,2,2,2,2,1,2,1,1,1,1,3,2,2,1,0,1,0,0,1,7,3,0,4,2,2,2,0,1,1,4,2,2,2,2,3,0,0,0,0
17238:0,0,0,8,7,3,8,15,6,8,14,8,0,11,4,5,7,7,8,11,5,11,5,4,11,11,6,6,6,4,5,8,6,6,6,6,6,10,7,7,4,6,6,6,8,8,12,5,4,8,12,10,6,4,8,8,8,8,5,3,9,14,9,4,2,0,0
17239:0,0,4,6,2,4,7,12,8,6,11,6,2,7,8,6,9,5,9,7,10,10,6,10,11,6,4,4,6,8,7,9,5,3,6,5,9,9,6,7,7,8,10,3,10,7,5,4,10,6,8,9,4,4,7,8,5,8,6,4,13,5,7,3,0,0,0
17240:0,0,4,6,5,6,7,16,7,10,8,5,14,9,13,8,6,13,16,14,10,8,7,8,15,13,15,11,18,6,11,12,7,5,11,4,7,4,12,14,10,11,15,9,7,5,4,8,7,17,14,7,7,8,13,13,8,12,9,4,12,9,8,1,0,0,0
17242:0,0,2,4,1,5,5,2,4,5,6,2,3,3,5,4,7,4,3,3,4,7,7,6,2,3,3,3,5,3,5,3,2,1,1,2,1,4,4,2,5,4,8,2,2,4,4,1,8,0,2,6,1,7,3,2,2,2,2,2,7,2,4,0,0,0,0
17243:0,0,0,3,3,3,3,2,5,4,4,2,2,1,2,5,3,5,1,3,5,6,3,6,1,1,6,4,1,3,2,1,2,2,2,4,2,2,2,0,2,5,2,3,0,3,4,1,5,0,4,5,5,2,1,2,3,1,4,3,5,4,4,0,0,0,0
17244:0,0,2,8,3,5,8,7,6,7,10,12,7,7,8,5,5,9,3,4,4,6,4,7,8,3,9,9,8,6,5,6,7,5,6,9,5,7,3,2,4,7,11,8,4,5,7,5,6,7,8,17,8,8,8,6,9,2,9,6,7,10,4,2,1,0,0
17893:0,0,3,6,6,1,3,4,1,3,4,5,2,4,1,2,6,5,3,3,7,3,2,4,6,4,5,3,0,4,5,4,1,4,5,9,4,4,8,2,4,2,2,4,4,5,6,4,4,5,0,10,8,4,4,1,6,5,1,4,7,4,7,2,0,1,0
917861:0,0,0,0,0,1,0,1,0,1,0,0,0,1,2,0,0,2,1,1,0,0,1,1,1,1,1,0,1,0,1,0,0,2,1,0,0,1,0,1,1,2,2,2,1,1,0,3,0,3,1,0,2,1,0,0,1,0,1,3,0,2,0,0,0,0,0
917355:0,0,0,1,1,5,3,0,3,3,1,2,4,2,3,3,1,1,2,2,3,6,2,1,3,0,2,2,1,2,2,0,4,8,1,3,1,0,2,3,0,1,4,2,1,3,3,4,2,1,2,4,4,2,2,1,0,5,2,1,2,2,5,3,0,0,0
17778:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17780:0,0,1,2,2,5,1,0,3,1,5,4,5,2,4,3,3,1,5,0,1,4,2,2,3,2,4,2,3,2,0,4,1,2,3,4,0,2,3,3,3,3,2,1,4,2,6,6,5,3,5,3,3,7,1,1,1,6,2,3,3,3,4,0,0,0,0
40310:0,0,4,4,2,7,2,6,4,0,2,2,4,5,1,2,3,3,4,0,4,2,1,3,4,4,3,3,2,5,1,1,1,4,3,1,0,2,0,3,1,0,4,2,6,4,6,2,1,2,3,3,1,3,5,4,4,5,6,4,4,0,0,0,0,0,0
40311:0,1,5,2,1,7,2,2,1,7,2,4,1,5,2,1,9,7,4,5,7,4,3,4,4,1,2,4,7,0,1,1,4,3,2,3,3,5,6,1,2,3,3,4,5,2,4,1,2,5,1,3,4,1,4,1,2,5,1,3,2,7,0,0,0,0,0
917780:0,0,0,2,3,2,3,1,4,1,1,4,2,4,3,3,4,2,4,3,3,4,4,2,2,4,0,1,6,3,3,2,2,4,2,3,3,0,2,4,0,3,2,2,4,4,5,2,3,5,6,2,2,3,4,5,1,6,1,2,1,4,2,2,0,0,0
17472:0,0,2,3,3,5,2,5,2,4,3,6,3,4,6,5,2,4,2,4,0,11,4,10,6,8,10,9,4,7,6,4,8,9,5,4,3,2,13,7,1,6,6,7,5,9,3,4,9,5,3,6,3,6,5,1,8,10,2,4,6,5,2,2,0,0,0
917890:0,0,2,11,6,5,11,7,5,10,11,6,8,8,5,9,10,5,11,4,6,12,7,10,10,10,8,7,13,8,9,13,5,10,8,13,14,9,10,13,10,7,5,8,7,6,10,6,10,10,5,18,12,7,6,14,6,9,13,8,5,6,1,2,4,0,0
917891:0,0,0,3,5,4,2,4,3,4,3,4,5,1,5,6,4,3,3,0,1,0,4,6,3,1,7,3,3,1,2,3,2,2,1,2,3,3,6,5,3,0,2,5,2,1,6,5,2,4,5,3,4,8,5,2,1,2,5,3,2,6,1,0,0,0,0
917892:0,0,10,7,6,10,9,11,10,7,5,10,11,8,7,7,4,10,8,6,13,8,9,8,13,7,4,5,9,11,9,15,7,11,10,11,5,5,11,9,5,12,8,9,7,6,12,8,9,13,11,9,10,4,6,10,9,11,8,4,7,6,0,0,0,0,0
917893:0,0,1,5,4,4,1,5,8,4,5,11,4,5,2,5,8,3,5,1,3,11,4,5,3,8,1,8,9,2,6,9,11,5,6,9,9,7,5,8,8,7,6,7,3,5,5,3,4,6,2,11,4,6,3,6,7,6,3,8,1,7,3,4,3,0,0
17287:0,0,1,2,5,5,4,8,5,4,2,0,5,1,7,3,1,4,4,5,7,3,5,5,4,4,6,4,1,5,2,7,4,7,3,3,2,2,4,3,0,3,4,4,8,3,4,3,4,5,4,4,6,10,4,7,3,4,4,5,2,5,0,0,0,0,0
917896:0,0,2,2,3,2,1,1,5,5,5,4,6,3,2,3,7,5,1,3,2,7,7,6,1,4,5,8,3,3,5,3,5,3,8,4,4,5,4,3,5,2,5,2,1,4,3,4,3,4,4,8,4,0,3,3,2,3,2,4,7,6,0,1,1,0,0
917897:0,0,6,6,3,3,6,6,4,4,3,4,3,3,3,4,2,3,1,2,5,7,10,7,2,4,5,7,4,3,2,5,6,3,1,1,5,4,3,6,5,4,5,7,2,6,2,3,8,5,6,3,7,1,3,4,4,2,4,4,3,5,0,0,0,0,0
917898:0,0,3,3,1,2,2,1,1,3,1,2,2,4,2,2,5,1,1,2,2,5,1,5,2,3,1,6,3,0,1,1,5,5,4,3,3,2,3,2,1,1,3,2,1,4,4,0,0,6,4,3,5,3,1,2,0,2,1,5,5,0,1,2,2,0,0
917899:0,0,0,0,0,1,0,2,0,3,0,0,2,3,4,1,0,2,1,1,1,1,5,2,2,2,1,1,2,1,1,0,3,3,5,1,1,3,0,3,3,2,1,1,2,2,2,4,1,3,0,3,3,4,1,0,2,0,1,2,4,1,0,1,1,3,0
917900:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17302:0,0,1,0,1,4,2,1,4,3,1,0,0,3,1,2,0,0,0,0,0,2,1,0,2,3,2,1,1,0,1,1,1,4,4,1,1,1,1,0,0,1,3,2,1,4,0,0,0,3,1,2,3,3,1,0,1,1,0,2,0,0,2,0,1,0,0
17625:0,0,3,1,7,10,11,4,4,10,6,8,7,7,7,8,7,8,8,4,4,9,6,7,11,5,7,4,4,6,8,6,10,5,4,4,7,4,10,8,12,5,7,5,13,6,8,6,6,6,4,7,8,5,6,7,7,6,8,8,7,12,7,3,0,0,0
917917:0,0,0,2,2,2,0,4,1,3,3,1,4,0,3,3,2,1,4,0,1,0,4,3,2,2,2,1,2,1,2,0,1,1,0,3,2,3,2,2,3,0,0,3,0,1,0,2,0,3,1,1,5,3,5,1,1,1,2,1,3,2,0,0,0,0,0
17823:0,0,2,9,4,7,7,2,3,9,9,6,8,6,1,14,4,8,10,9,2,3,6,6,8,4,2,6,12,4,7,6,5,14,4,9,8,7,7,7,8,6,4,4,2,11,8,7,6,8,2,9,11,8,8,7,4,7,7,8,7,4,3,2,2,1,0
17824:0,0,3,2,2,0,3,1,2,2,3,2,5,2,2,3,3,2,2,3,3,2,2,1,4,2,4,3,1,1,1,5,3,2,4,1,3,3,5,2,4,2,3,0,2,5,2,5,2,4,0,5,3,2,2,0,3,1,3,1,4,4,0,0,1,0,0
17825:0,0,3,4,1,4,4,1,2,5,4,1,1,4,1,5,2,3,7,3,1,1,3,3,1,2,1,1,7,1,1,4,3,9,4,6,3,2,4,5,5,6,2,3,2,8,6,3,5,2,1,2,3,4,5,3,4,1,4,4,5,3,1,0,0,0,0
17826:0,0,1,0,7,1,2,4,1,4,6,5,3,3,2,2,8,4,0,4,4,4,1,5,5,4,7,9,7,2,4,1,1,3,9,5,5,3,3,6,5,2,4,6,1,6,6,5,3,2,3,8,6,5,3,4,3,5,2,4,3,3,4,4,1,0,0
17827:0,0,3,3,1,1,0,3,0,1,2,0,1,0,2,4,1,0,1,1,0,0,1,1,1,0,4,1,2,0,2,1,3,2,3,1,1,1,1,0,1,4,2,4,0,2,0,1,5,5,1,4,5,2,0,0,0,3,3,2,2,6,0,0,0,0,0
17828:0,0,4,4,2,2,1,6,0,1,3,2,0,2,3,2,2,0,2,2,1,0,3,3,2,1,2,4,5,1,1,3,6,3,0,1,2,1,2,2,0,1,1,0,3,1,0,2,2,4,2,1,3,1,1,1,2,4,3,2,2,5,0,0,1,0,0
917413:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17321:0,0,0,2,2,3,7,3,8,8,4,7,3,4,2,5,5,3,2,4,6,3,4,8,2,5,6,9,7,3,8,3,2,2,4,2,7,5,7,1,4,3,3,4,4,8,3,6,3,5,2,2,5,5,5,5,3,6,2,2,3,7,3,2,1,0,0
17322:0,0,0,1,9,8,8,8,11,12,14,9,7,6,6,6,10,3,6,12,11,11,13,9,7,16,8,16,9,7,14,6,1,8,11,7,12,7,12,7,9,3,8,7,9,7,10,9,8,8,8,10,11,6,11,12,11,13,4,9,8,17,7,6,2,0,0
17323:0,0,7,13,15,14,14,10,24,15,15,10,19,13,13,13,12,11,8,14,14,14,15,11,20,11,21,11,10,13,13,10,12,15,14,15,7,20,15,14,13,9,15,24,16,13,17,10,15,10,16,14,14,11,6,13,16,9,12,18,11,11,12,3,0,0,0
917421:0,0,5,0,4,4,7,4,3,10,6,1,4,1,5,7,4,7,8,9,4,8,7,2,4,2,1,8,4,6,3,1,7,3,4,3,5,6,7,4,7,6,2,4,3,11,8,12,3,5,4,5,6,4,4,4,6,3,9,3,2,10,3,0,0,0,0
17326:0,0,4,5,19,16,13,12,10,10,7,9,5,9,9,18,11,6,9,11,17,12,13,8,5,14,15,13,14,14,7,4,9,14,11,5,8,16,12,8,12,5,12,10,13,10,7,7,9,8,9,9,3,10,10,12,9,9,8,13,12,16,6,2,0,0,0
17327:0,0,7,9,17,17,20,20,17,20,12,21,17,13,9,25,18,16,11,8,16,14,15,11,14,18,19,17,20,20,22,13,16,16,15,22,20,16,14,16,12,17,23,15,27,24,28,18,16,14,14,16,19,21,16,22,15,15,14,13,22,16,9,1,0,0,0
17329:0,0,3,12,11,12,10,12,13,11,8,11,12,7,14,14,6,10,10,11,14,10,4,13,11,16,14,10,14,17,11,7,10,9,8,10,10,8,14,11,9,13,11,13,17,12,9,8,8,9,6,10,8,14,15,6,9,8,9,15,15,6,5,0,0,0,0
17330:0,0,1,9,6,8,6,7,11,6,5,5,6,4,11,5,1,10,9,8,2,9,6,6,9,13,7,8,15,10,7,3,6,5,4,9,5,4,9,10,9,6,7,11,8,7,8,5,4,7,6,5,4,7,10,4,6,8,3,11,7,4,2,0,0,0,0
17331:0,0,3,5,4,8,6,13,8,7,9,2,11,7,4,11,8,9,17,11,6,11,7,7,12,10,8,2,13,16,9,9,4,6,7,6,8,4,12,11,5,7,10,7,5,3,2,8,6,11,11,10,10,7,6,7,13,5,10,6,9,8,9,1,0,0,0
917428:0,0,1,2,2,6,7,4,7,11,7,5,4,2,4,6,8,4,7,2,7,6,9,4,9,8,4,10,3,6,5,2,5,6,5,7,6,4,6,2,6,2,2,7,4,5,3,2,7,1,4,4,6,11,4,7,3,1,5,7,2,3,1,3,0,0,0
17333:0,0,5,4,6,5,5,5,5,5,6,1,2,4,7,4,3,6,6,4,3,7,7,6,8,5,4,8,10,6,3,0,4,5,4,7,4,9,6,2,8,5,5,6,5,3,2,5,3,3,5,7,2,3,5,5,5,2,6,7,3,4,2,3,0,0,0
17334:0,0,4,5,4,3,3,6,5,8,5,1,4,2,5,1,1,7,6,6,6,8,5,8,6,2,6,7,5,5,2,2,1,10,2,8,2,2,6,4,2,5,4,6,5,5,4,4,3,5,4,5,5,4,6,5,2,3,7,2,7,6,2,0,0,0,0
17336:0,0,4,3,5,6,6,7,4,10,3,1,7,2,6,3,1,9,7,5,7,11,6,5,6,2,5,8,2,6,3,6,5,12,2,7,6,3,8,6,4,4,5,5,8,6,3,7,4,5,4,1,5,6,6,5,2,7,6,6,3,4,1,0,0,0,0
917433:0,0,1,18,12,12,12,16,16,13,9,20,17,13,11,17,11,9,11,18,17,16,12,15,11,3,19,15,19,17,13,11,10,7,15,12,5,14,13,10,14,8,14,10,19,16,19,16,15,15,15,12,14,12,13,11,11,15,12,15,11,13,10,2,0,0,0
917434:0,0,1,11,16,10,15,15,11,14,13,16,16,15,12,19,13,9,15,16,12,19,19,14,11,9,12,22,14,15,15,15,12,12,13,10,13,17,9,16,17,10,19,11,11,22,21,22,20,16,7,11,12,15,15,17,11,14,14,12,17,11,7,3,0,0,0
917436:0,0,6,10,9,18,20,17,15,15,21,20,16,14,16,16,14,14,19,9,13,13,17,18,15,15,16,20,18,20,14,24,15,17,13,6,8,17,16,14,12,22,9,11,16,9,15,14,27,11,17,14,16,23,19,14,15,13,17,17,12,10,13,6,0,0,0
917437:0,0,2,6,12,6,3,9,6,8,7,7,11,13,11,14,7,8,11,7,9,12,15,12,6,5,10,17,12,9,16,7,11,13,8,14,8,10,6,11,8,8,11,15,8,22,18,11,11,8,7,10,8,7,12,11,13,10,6,9,11,7,8,1,0,0,0
917438:0,0,1,5,8,5,4,4,5,5,6,8,4,9,7,14,5,4,5,9,7,6,8,7,6,2,9,5,9,5,6,9,10,7,4,7,6,1,11,6,8,7,8,10,8,8,12,17,10,9,7,8,4,7,4,7,8,6,7,8,3,6,6,3,0,0,0
917749:0,0,2,10,10,5,7,14,7,4,8,9,5,3,5,8,13,3,6,3,8,5,9,10,6,5,10,8,4,9,3,10,4,12,9,6,2,4,7,8,8,6,8,3,6,11,9,3,7,5,11,9,4,6,3,7,6,11,4,7,10,7,2,0,1,0,0
917440:0,0,3,7,11,8,11,10,11,8,7,11,5,10,8,8,4,6,9,6,12,5,10,9,13,6,11,9,14,8,13,10,12,12,14,8,9,15,8,5,10,10,14,15,11,9,10,16,11,13,12,10,10,8,9,7,6,9,10,11,12,10,14,8,1,0,0
917441:0,0,2,2,0,10,6,4,8,3,7,3,5,8,7,13,8,4,4,10,9,8,7,5,5,3,7,4,6,13,3,4,11,9,1,6,10,5,9,6,9,9,10,8,6,5,10,11,7,8,10,6,4,7,6,9,4,5,8,4,4,7,1,3,0,0,0
917442:0,0,3,1,2,10,8,3,6,7,3,4,2,5,2,13,8,2,3,7,8,6,8,5,2,2,4,2,5,8,9,3,8,5,1,4,4,6,9,2,6,6,7,10,3,3,5,12,5,7,7,11,5,7,5,6,5,3,9,7,2,5,1,1,1,0,0
916931:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17861:0,0,0,1,1,2,5,2,2,5,3,4,4,6,0,2,4,4,3,3,7,2,2,0,4,3,2,8,5,4,2,6,0,6,10,2,7,6,3,5,4,2,5,1,3,7,5,4,1,5,6,3,4,5,5,8,2,2,8,4,4,0,3,1,0,0,0
916935:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
916938:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17355:0,0,1,4,3,10,5,7,5,5,3,7,7,4,3,3,3,4,6,3,3,12,3,13,4,3,8,12,2,5,7,7,7,6,3,6,5,5,7,8,1,5,4,6,7,10,4,8,5,3,2,7,2,5,4,3,9,10,2,6,9,6,2,3,0,0,0
917752:0,0,2,7,7,9,8,9,7,9,6,7,10,9,6,8,6,4,9,3,4,10,7,7,11,3,7,5,6,6,8,8,8,10,13,8,2,7,2,10,2,7,6,6,6,5,12,8,6,7,8,5,7,6,9,5,5,6,10,2,4,8,2,0,0,0,0
17059:0,0,3,2,5,4,4,6,7,9,4,6,4,8,1,2,0,3,5,3,0,3,5,2,7,13,6,7,4,1,3,7,0,4,4,5,3,2,7,0,3,7,4,2,6,2,13,2,4,5,8,4,4,1,7,4,1,6,4,2,3,7,0,0,0,0,0
917707:0,0,0,2,1,8,4,9,4,5,5,12,7,10,4,9,9,6,3,2,7,6,3,4,11,2,11,2,4,5,6,5,4,6,11,7,8,7,6,3,6,3,5,5,5,8,6,5,4,10,6,8,5,13,3,4,6,7,6,4,11,5,2,3,0,0,0
917753:0,0,1,13,20,14,10,15,4,14,10,10,4,12,9,12,9,11,10,10,2,16,11,15,12,11,10,9,12,14,12,14,14,12,15,16,12,7,10,10,17,12,11,5,7,13,16,11,13,13,15,10,13,11,13,7,12,13,10,14,4,20,11,5,1,0,0
917754:0,0,0,1,1,6,2,4,3,2,3,4,4,4,2,9,6,8,0,1,6,5,5,2,10,4,5,5,6,6,7,9,5,5,6,6,4,6,4,3,7,5,3,6,6,6,3,4,4,3,1,9,2,6,7,2,4,2,4,4,8,4,5,1,0,0,0
917471:0,0,0,3,1,8,6,2,3,15,5,7,7,3,3,3,4,9,8,4,1,12,2,10,3,4,5,9,7,3,5,7,4,5,6,3,6,5,2,7,3,4,2,3,3,9,7,7,5,5,4,8,2,6,6,4,7,8,3,6,6,4,5,2,0,0,0
17376:0,0,2,4,5,7,5,6,6,8,7,13,9,6,9,6,5,5,4,4,4,8,4,5,8,3,6,7,5,5,8,9,10,5,8,7,4,10,4,3,6,7,10,6,8,5,3,7,5,5,4,14,7,10,9,5,8,1,9,10,4,6,4,1,1,0,0
17232:0,0,6,8,9,6,7,6,13,8,12,16,12,5,9,8,6,4,4,10,9,10,6,8,11,11,8,12,2,9,5,6,8,11,6,11,8,14,6,14,5,4,11,14,8,12,8,8,13,11,10,13,10,7,10,7,8,6,8,10,6,9,5,0,0,0,0
17890:0,0,1,0,1,2,1,2,2,3,1,4,2,2,2,1,3,1,6,1,4,4,2,5,4,2,0,1,4,4,1,2,1,2,2,4,2,1,1,0,1,0,0,2,5,4,1,0,1,5,0,3,2,4,4,0,1,4,2,2,0,2,2,2,0,0,0
17891:0,0,0,2,4,1,5,4,3,1,2,8,3,4,3,6,4,4,7,3,3,4,5,2,4,3,0,3,6,4,3,4,2,5,2,3,4,2,3,4,1,5,2,2,5,6,6,4,3,7,5,2,2,2,5,3,1,6,1,2,5,3,2,2,0,0,0
17892:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
917989:0,0,0,2,1,0,1,1,5,3,3,1,2,2,4,1,1,0,5,3,1,0,3,0,1,3,2,1,5,6,1,0,1,6,3,1,6,2,1,4,2,1,3,3,1,3,2,1,4,2,0,1,3,2,4,1,3,0,4,3,2,2,0,0,0,0,0
17894:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17895:0,0,0,2,6,8,3,8,7,7,3,8,8,6,4,8,10,9,7,1,7,5,8,7,6,3,6,5,13,6,5,15,7,2,9,5,5,7,5,6,7,7,4,7,6,4,4,3,8,9,7,11,1,16,9,7,4,11,7,9,2,7,11,3,0,0,0
17896:0,0,1,6,9,2,6,8,3,7,10,8,5,5,3,9,9,6,4,7,7,6,3,7,8,6,12,10,12,10,7,6,5,7,11,10,10,9,7,12,7,5,5,7,7,8,8,7,5,7,7,13,7,6,6,8,5,10,2,13,11,8,6,4,0,0,0
17897:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17898:0,0,4,4,5,3,3,5,6,3,8,6,3,1,5,5,6,4,5,6,2,1,3,5,4,5,2,7,10,8,4,5,3,8,7,3,6,5,4,6,4,2,4,0,9,5,4,1,2,12,6,6,6,3,1,5,4,5,2,7,6,8,2,0,0,0,0
17899:0,0,1,2,2,1,1,1,8,4,7,2,3,2,6,4,4,1,5,3,2,1,3,2,3,3,4,1,5,6,2,5,4,8,6,2,4,5,2,3,3,3,5,1,4,5,3,2,6,3,5,2,2,4,4,1,5,3,4,3,4,2,1,0,0,0,0
17900:0,0,1,0,1,1,0,2,2,1,3,1,0,1,3,2,2,1,0,0,1,1,0,3,2,1,0,0,0,0,3,3,4,1,3,1,0,0,1,0,2,1,1,1,3,0,1,1,1,2,3,1,1,1,0,1,1,3,2,0,2,1,0,0,0,0,0
17014:0,0,1,1,2,0,1,1,4,3,1,3,3,4,6,3,2,1,2,3,1,5,3,1,5,3,5,2,3,5,1,2,1,3,7,1,3,2,3,4,2,2,5,3,5,4,3,2,2,3,2,3,5,3,4,3,2,0,1,4,3,2,2,4,2,1,0
917235:0,0,4,6,8,6,14,6,7,14,8,8,6,9,6,8,7,10,11,16,9,7,10,13,9,10,9,13,12,14,5,11,4,13,8,5,7,11,10,8,11,10,11,4,7,4,9,10,10,10,12,5,11,14,10,14,11,11,7,10,8,10,7,2,1,0,0
17069:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17236:0,0,7,9,18,18,14,10,13,13,13,14,13,16,13,17,14,11,9,17,11,11,14,9,10,11,13,16,14,16,13,11,14,18,18,19,15,11,14,11,8,10,14,15,17,22,20,16,14,12,15,10,19,16,13,18,13,15,13,18,19,19,9,3,0,0,0
917623:0,0,3,13,21,15,10,17,14,18,12,13,12,17,10,14,12,16,14,11,3,15,16,10,20,16,11,13,14,9,19,18,19,15,15,17,13,4,15,17,16,16,15,7,14,11,21,13,16,15,16,14,9,15,14,12,14,17,14,15,7,12,17,7,0,0,0
17751:0,0,1,7,4,5,5,5,5,7,5,9,3,4,5,12,4,9,6,4,7,6,5,8,5,1,4,10,11,2,12,5,4,5,11,5,11,5,6,3,5,4,8,4,1,2,16,7,6,5,2,3,2,5,9,1,5,7,3,4,9,9,3,2,0,0,0
17917:0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
